"Time, Voltage"
"0,521"
"100,521"
"200,521"
"301,520"
"401,520"
"501,521"
"602,520"
"702,520"
"802,521"
"903,520"
"80,605,528"
"80,705,528"
"80,805,528"
"80,906,528"
"81,007,528"
"81,107,528"
"81,208,529"
"81,308,528"
"81,409,528"
"81,509,528"
"81,609,528"
"81,711,527"
"81,811,528"
"81,911,527"
"82,012,528"
"82,112,528"
"82,212,528"
"82,314,528"
"82,414,528"
"82,514,528"
"82,615,528"
"82,715,528"
"82,816,527"
"82,917,528"
"83,017,528"
"83,118,528"
"83,218,527"
"83,318,527"
"83,419,528"
"83,519,527"
"83,620,527"
"83,721,527"
"83,821,528"
"83,921,527"
"84,022,527"
"84,122,528"
"84,224,527"
"84,324,527"
"84,424,527"
"84,525,527"
"84,625,527"
"84,725,527"
"84,826,527"
"84,927,527"
"85,027,527"
"85,128,527"
"85,228,527"
"85,328,527"
"85,429,527"
"85,530,527"
"85,630,527"
"85,731,527"
"85,831,527"
"85,932,527"
"86,032,527"
"86,132,527"
"86,234,527"
